Filename,a_Good,b_Moderate,c_Unhealthy_for_Sensitive_Groups,d_Unhealthy,e_Very_Unhealthy,f_Severe
BRI_Un_2023-02-02- 12.00-9.jpg,0.0065621273,0.01820757,0.010896209,0.13201407,0.007071174,0.82524884
BIR_UNH_VF_2023-02-02- 12.00-3-72.jpg,0.82773775,0.09857491,0.031691518,0.03451267,0.00062350533,0.0068596452
BIR_UNH_VF_2023-02-02- 12.00-3-71.jpg,0.029558334,0.008034595,0.37112603,0.5079839,0.07660981,0.0066873212
BIR_UNH_VF_2023-02-02- 12.00-3-65.jpg,0.37821245,0.5927691,0.021870093,0.0035418884,0.0009701138,0.0026364494
BIR_UNH_VF_2023-02-02- 12.00-3-56.jpg,0.00014072238,0.00019351026,0.0013868517,0.9943468,0.0012808887,0.0026512197
BIR_UNH_VF_2023-02-02- 12.00-3-5.jpg,0.05961845,0.014758599,0.0034533166,0.005074021,0.9158171,0.0012785342
BIR_UNH_VF_2023-02-02- 12.00-3-46.jpg,0.9470831,0.008690973,0.026134383,0.00030140605,0.0015322764,0.016257884
BIR_UNH_VF_2023-02-02- 12.00-3-44.jpg,0.11278872,0.010237961,0.8645141,0.006437875,0.0047568893,0.00126444
BIR_UNH_VF_2023-02-02- 12.00-3-41.jpg,0.033356626,0.017492555,0.2743152,0.45772684,0.21280484,0.004303888
BIR_UNH_VF_2023-02-02- 12.00-3-39.jpg,0.23191775,0.6966234,0.058985256,0.0033372024,0.0066738734,0.002462484
BIR_UNH_VF_2023-02-02- 12.00-3-38.jpg,2.8194903e-05,0.00013984973,1.500286e-05,0.0005186908,0.9893272,0.009971089
BIR_UNH_VF_2023-02-02- 12.00-3-36.jpg,0.2818102,0.6178689,0.09810234,0.0005487152,0.0007600971,0.000909751
BIR_UNH_VF_2023-02-02- 12.00-3-30.jpg,0.0002853088,0.0005950102,0.039669756,0.7573159,0.20157246,0.0005615206
BIR_UNH_VF_2023-02-02- 12.00-3-25.jpg,0.67775005,0.2872526,0.034302283,0.0002986349,6.126348e-05,0.0003351797
BIR_UNH_VF_2023-02-02- 12.00-3-21.jpg,0.864446,0.028065033,0.054565504,0.0065553808,0.0066305604,0.03973752
BIR_UNH_VF_2023-02-02- 12.00-3-2.jpg,0.13515551,0.028361948,0.03378338,0.07482946,0.7252765,0.0025931643
BIR_UNH_VF_2023-02-02- 12.00-2-84.jpg,0.058201563,0.012380685,0.41922817,0.4773261,0.030905357,0.0019581607
BIR_UNH_VF_2023-02-02- 12.00-2-8.jpg,0.10272545,0.3533938,0.1598755,0.3529057,0.016937481,0.014162097
BIR_UNH_VF_2023-02-02- 12.00-2-74.jpg,1.2520576e-12,8.458069e-14,3.2078053e-14,1.9547447e-11,1.0,1.3675749e-09
BIR_UNH_VF_2023-02-02- 12.00-2-71.jpg,0.5727272,0.33816746,0.08489997,0.0006754952,0.0013315665,0.0021982866
BIR_UNH_VF_2023-02-02- 12.00-2-7.jpg,0.18761013,0.76930326,0.03758667,0.0021730836,0.0025519107,0.00077497354
